nco_code,title,n_tasks_original,n_tasks_modernised,beta_original_3s,beta_modernised_3s,beta_corpus_1s,drift,group3,beta_crosswalked_group,gap_closure_share
4211.0400,"Teller, Bank",6,8,0.333,0.312,0.333,-0.021,421,0.42,-0.24
3321.0100,Insurance Agent,14,8,0.5,0.5,0.5,0.0,332,0.55,0.0
4221.0300,"Reservation Clerk, Transport",8,8,0.25,0.375,0.25,0.125,422,0.61,0.35
4211.0100,"Cashier, General",16,9,0.281,0.333,0.281,0.052,421,0.42,0.37
4211.0200,"Cashier, Bank; Shroff",10,8,0.15,0.25,0.15,0.1,421,0.42,0.37
4223.0100,Telephone Operator (contact-centre modernisation),19,8,0.263,0.562,0.316,0.299,422,0.61,0.86
4131.0100,Secretary / Back Office Support,5,7,0.5,0.643,0.5,0.143,413,0.82,0.45
2411.0100,Accountant,16,9,0.5,0.556,0.467,0.056,241,0.53,
4313.0101,Accounts Clerk (Payroll),12,8,0.542,0.5,0.542,-0.042,431,0.73,-0.22
4221.0400,"Booking Clerk, Transport",9,7,0.222,0.357,0.167,0.135,422,0.61,0.35
4131.0600,Computer Operator,11,8,0.364,0.375,0.364,0.011,413,0.82,0.02
3341.1000,Office Assistant; Senior Clerk,12,8,0.5,0.375,0.5,-0.125,334,0.72,-0.57
4411.0100,Library Clerk,11,8,0.227,0.312,0.227,0.085,441,0.49,0.32
4110.0500,Time Keeper,14,7,0.214,0.5,0.179,0.286,411,0.6,0.74
